Expt,genes
3,61.2225
3,43.8717
3,80.5628
3,21.7421
3,16.8781
3,53.7156
3,25.2455
3,230.748
3,99.3575
3,74.585
3,75.5809
3,0.0
3,90.5199
3,91.8484
3,70.2253
3,68.2675
3,36.2191
3,297.128
3,83.7129
3,96.2263
3,87.805
3,64.7346
3,73.9231
3,37.8526
3,37.1743
3,170.104
3,0.00281099
3,161.595
3,25.3951
3,0.0
3,20.0815
3,452.242
3,82.951
3,182.974
3,33.6675
3,0.0
3,22.1694
3,27.0649
3,137.353
3,26.7378
3,62.8621
3,86.8532
3,1.33e-08
3,31.4621
3,29.7508
3,36.8615
3,29.0341
3,92.1476
3,52.2269
3,39.6417
3,62.695
3,251.616
3,41.4077
3,37.8028
3,295.322
3,183.635
3,46.3065
3,33.3634
3,52.0934
3,38.2958
3,48.3941
3,83.3936
3,77.4821
3,165.804
3,64.6779
3,58.5239
3,176.969
3,3.27e-05
3,83.0565
3,93.5736
3,24.4799
3,89.5257
3,159.3
3,20.5261
3,35.0938
3,37.5994
3,36.4104
3,93.3029
3,19.0271
3,102.308
3,99.8712
3,102.55
3,38.9846
3,76.9726
3,43.9799
3,37.7255
3,113.099
3,97.3007
3,457.655
3,27.2676
3,72.3144
3,39.4162
3,65.2059
3,77.4237
3,32.8873
3,44.2727
3,55.3985
3,58.9562
3,40.5557
3,39.4401
3,75.0622
3,37.8936
3,177.782
3,54.1693
3,1.33e-09
3,72.2787
3,304.859
3,157.497
3,24.4951
3,0.41876
3,366.421
3,365.091
3,113.346
3,64.0949
3,87.1008
3,25.1924
3,0.260643
3,99.8975
3,27.8029
3,41.3909
3,254.759
3,137.945
3,66.397
3,307.404
3,39.3428
3,461.014
3,76.7201
3,75.8812
3,36.624
3,64.3193
3,50.3754
3,108.26
3,26.9794
3,76.1455
3,78.7686
3,241.422
3,64.2122
3,246.834
3,34.7375
3,134.672
3,38.6562
3,47.6341
3,48.5127
3,38.0992
3,1.2492
3,60.3376
3,38.9623
3,45.4591
3,52.2985
3,5.02671
3,80.6614
3,43.6138
3,0.0
3,36.6821
3,46.3057
3,34.4167
3,59.0253
3,166.809
3,37.06
3,71.3259
3,95.8391
3,54.2353
3,71.5121
